Economy ISO3,Indicator,2019
AGO,GCI 4.0: 1st pillar: Institutions,37.62
AGO,GCI 4.0: 2nd pillar: Infrastructure,40.2
AGO,GCI 4.0: 3rd pillar: ICT adoption,30.55
AGO,GCI 4.0: 4th pillar: Macroeconomic stability,40.61
AGO,GCI 4.0: 5th pillar: Health,46.9
AGO,GCI 4.0: 6th pillar: Skills,29.08
AGO,GCI 4.0: 7th pillar: Product market,37.71
AGO,GCI 4.0: 8th pillar: Labor market,46.83
AGO,GCI 4.0: 9th pillar: Financial system,38.42
AGO,GCI 4.0: 10th pillar: Market size,53.88
AGO,GCI 4.0: 11th pillar: Business dynamism,36.75
AGO,GCI 4.0: 12th pillar: Innovation capability,18.82
ALB,GCI 4.0: 1st pillar: Institutions,51.87
ALB,GCI 4.0: 2nd pillar: Infrastructure,57.69
ALB,GCI 4.0: 3rd pillar: ICT adoption,52.88
ALB,GCI 4.0: 4th pillar: Macroeconomic stability,70.0
ALB,GCI 4.0: 5th pillar: Health,85.89
ALB,GCI 4.0: 6th pillar: Skills,68.97
ALB,GCI 4.0: 7th pillar: Product market,54.36
ALB,GCI 4.0: 8th pillar: Labor market,65.26
ALB,GCI 4.0: 9th pillar: Financial system,53.29
ALB,GCI 4.0: 10th pillar: Market size,39.58
ALB,GCI 4.0: 11th pillar: Business dynamism,61.8
ALB,GCI 4.0: 12th pillar: Innovation capability,29.76
ARE,GCI 4.0: 1st pillar: Institutions,73.26
ARE,GCI 4.0: 2nd pillar: Infrastructure,88.49
ARE,GCI 4.0: 3rd pillar: ICT adoption,91.87
ARE,GCI 4.0: 4th pillar: Macroeconomic stability,100.0
ARE,GCI 4.0: 5th pillar: Health,72.18
ARE,GCI 4.0: 6th pillar: Skills,70.61
ARE,GCI 4.0: 7th pillar: Product market,71.74
ARE,GCI 4.0: 8th pillar: Labor market,66.16
ARE,GCI 4.0: 9th pillar: Financial system,73.84
ARE,GCI 4.0: 10th pillar: Market size,70.34
ARE,GCI 4.0: 11th pillar: Business dynamism,69.27
ARE,GCI 4.0: 12th pillar: Innovation capability,52.34
ARG,GCI 4.0: 1st pillar: Institutions,49.85
ARG,GCI 4.0: 2nd pillar: Infrastructure,68.29
ARG,GCI 4.0: 3rd pillar: ICT adoption,57.99
ARG,GCI 4.0: 4th pillar: Macroeconomic stability,33.92
ARG,GCI 4.0: 5th pillar: Health,83.8
ARG,GCI 4.0: 6th pillar: Skills,72.25
ARG,GCI 4.0: 7th pillar: Product market,46.96
ARG,GCI 4.0: 8th pillar: Labor market,51.84
ARG,GCI 4.0: 9th pillar: Financial system,52.85
ARG,GCI 4.0: 10th pillar: Market size,68.6
ARG,GCI 4.0: 11th pillar: Business dynamism,58.3
ARG,GCI 4.0: 12th pillar: Innovation capability,41.75
ARM,GCI 4.0: 1st pillar: Institutions,56.25
ARM,GCI 4.0: 2nd pillar: Infrastructure,69.41
ARM,GCI 4.0: 3rd pillar: ICT adoption,62.02
ARM,GCI 4.0: 4th pillar: Macroeconomic stability,75.0
ARM,GCI 4.0: 5th pillar: Health,80.72
ARM,GCI 4.0: 6th pillar: Skills,66.78
ARM,GCI 4.0: 7th pillar: Product market,59.1
ARM,GCI 4.0: 8th pillar: Labor market,66.43
ARM,GCI 4.0: 9th pillar: Financial system,60.16
ARM,GCI 4.0: 10th pillar: Market size,37.52
ARM,GCI 4.0: 11th pillar: Business dynamism,62.55
ARM,GCI 4.0: 12th pillar: Innovation capability,39.39
AUS,GCI 4.0: 1st pillar: Institutions,72.94
AUS,GCI 4.0: 2nd pillar: Infrastructure,79.16
AUS,GCI 4.0: 3rd pillar: ICT adoption,73.62
AUS,GCI 4.0: 4th pillar: Macroeconomic stability,100.0
AUS,GCI 4.0: 5th pillar: Health,94.91
AUS,GCI 4.0: 6th pillar: Skills,80.56
AUS,GCI 4.0: 7th pillar: Product market,71.39
AUS,GCI 4.0: 8th pillar: Labor market,69.07
AUS,GCI 4.0: 9th pillar: Financial system,85.89
AUS,GCI 4.0: 10th pillar: Market size,72.62
AUS,GCI 4.0: 11th pillar: Business dynamism,75.29
AUS,GCI 4.0: 12th pillar: Innovation capability,69.53
AUT,GCI 4.0: 1st pillar: Institutions,73.54
AUT,GCI 4.0: 2nd pillar: Infrastructure,89.03
AUT,GCI 4.0: 3rd pillar: ICT adoption,65.63
AUT,GCI 4.0: 4th pillar: Macroeconomic stability,100.0
AUT,GCI 4.0: 5th pillar: Health,95.12
AUT,GCI 4.0: 6th pillar: Skills,79.35
AUT,GCI 4.0: 7th pillar: Product market,66.07
AUT,GCI 4.0: 8th pillar: Labor market,67.16
AUT,GCI 4.0: 9th pillar: Financial system,74.96
AUT,GCI 4.0: 10th pillar: Market size,64.63
AUT,GCI 4.0: 11th pillar: Business dynamism,69.35
AUT,GCI 4.0: 12th pillar: Innovation capability,74.47
AZE,GCI 4.0: 1st pillar: Institutions,58.47
AZE,GCI 4.0: 2nd pillar: Infrastructure,77.36
AZE,GCI 4.0: 3rd pillar: ICT adoption,55.07
AZE,GCI 4.0: 4th pillar: Macroeconomic stability,70.04
AZE,GCI 4.0: 5th pillar: Health,68.9
AZE,GCI 4.0: 6th pillar: Skills,69.76
AZE,GCI 4.0: 7th pillar: Product market,64.31
